"","row","distance","duration","distance_3","jump_n","frog_type","distance_3_off","distance_rel","day","angle_01","angle_10","angle_00","velocity_01","velocity_10","velocity_00"
"1",1,165.95,0.58333,0,1,"pro",-1,1,1,28.8556431361607,24.9005650111607,33.0304478236607,3.71103133430942,3.87622762521049,3.59915459406021
"2",2,177.48,0.71667,0,2,"pro",-1,1.0695,1,41.4415806361607,37.1964634486607,45.6251743861607,3.6803061574531,3.7009081854363,3.70269174774326
"3",3,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"4",4,27.158,0.43333,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"5",5,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"6",6,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"7",7,40.914,0.4,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"8",8,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"9",9,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"10",10,35.853,0.48333,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"11",11,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"12",12,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"13",13,43.911,0.38333,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"14",14,41.492,0.41667,0,2,"pro",-1,0.94491,1,NA,NA,NA,NA,NA,NA
"15",15,33.985,0.48333,102.96,3,"pro",-1,0.77395,1,NA,NA,NA,NA,NA,NA
"16",16,101.13,0.5,0,1,"pro",-1,1,1,21.3585728236607,17.6407993861607,25.6124790736607,2.71175763197306,2.90447103438977,2.5689619385039
"17",17,100.73,0.53333,0,2,"pro",-1,0.99604,1,24.6720493861607,20.5324009486607,29.4269321986607,2.58468887926109,2.73692558900316,2.48094384023733
"18",18,90.816,0.46667,234.91,3,"pro",-1,0.89801,1,17.1222446986607,13.9581821986607,20.7872837611607,2.61486157802604,2.83715646213743,2.44209712580736
"19",19,68.692,0.46667,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"20",20,81.905,0.53333,0,2,"pro",-1,1.1924,1,20.9366978236607,17.2277134486607,25.4454868861607,2.15054454738638,2.29330251698829,2.04706267257809
"21",21,77.354,0.38333,253.18,3,"pro",-1,1.1261,1,NA,NA,NA,NA,NA,NA
"22",22,79.628,0.45,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"23",23,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"24",24,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"25",25,91.532,0.5,0,1,"pro",-1,1,1,20.1281040736607,16.5597446986607,24.3029087611607,2.4897179077578,2.67259278621732,2.35262378039177
"26",26,77.781,0.45,0,2,"pro",-1,0.84977,1,NA,NA,NA,NA,NA,NA
"27",27,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"28",28,76.12,0.4,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"29",29,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"30",30,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"31",31,54.353,0.46667,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"32",32,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"33",33,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"34",34,25.024,0.48333,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"35",35,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"36",36,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"37",37,14.725,0.36667,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"38",38,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"39",39,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"40",40,56.711,0.41667,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"41",41,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"42",42,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"43",43,40.035,0.36667,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"44",44,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"45",45,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"46",46,42.28,0.45,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"47",47,71.882,0.53333,0,2,"pro",-1,1.7001,1,NA,NA,NA,NA,NA,NA
"48",48,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"49",49,27.515,0.38333,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"50",50,27.929,0.3,0,2,"pro",-1,1.015,1,NA,NA,NA,NA,NA,NA
"51",51,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"52",52,10.229,0.35,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"53",53,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"54",54,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"55",55,38.47,0.3,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"56",56,50.489,0.45,0,2,"pro",-1,1.3124,1,NA,NA,NA,NA,NA,NA
"57",57,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"58",58,38.778,0.4,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"59",59,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"60",60,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"61",61,38.431,0.33333,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"62",62,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"63",63,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"64",64,43.542,0.31667,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"65",65,0,0,0,2,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"66",66,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"67",67,51.555,0.31667,0,1,"pro",-1,1,1,NA,NA,NA,NA,NA,NA
"68",68,94.686,0.4,0,2,"pro",-1,1.8366,1,12.6837681361607,10.0822056361607,15.6720493861607,3.10136100413136,3.43735169336811,2.83795598019621
"69",69,0,0,0,3,"pro",-1,0,1,NA,NA,NA,NA,NA,NA
"70",70,112.99,0.5,0,1,"pro",-1,1,1,22.0616978236607,18.3175571986607,26.2716587611607,2.97833506565056,3.18594311018475,2.82476460595471
"71",71,95.405,0.45,0,2,"pro",-1,0.84437,1,16.4015415736607,13.3253696986607,19.9435337611607,2.81004588369013,3.06234013508666,2.61341566748755
"72",72,121.71,0.53333,302.8,3,"pro",-1,1.0772,1,25.5070103236607,21.4552525111607,29.9982212611607,3.03477873198077,3.2089847426518,2.91374202575109
"73",73,145.34,0.6,0,4,"pro",-1,1.2863,1,31.7999790736607,27.4669712611607,36.3966587611607,3.30016309091043,3.41745366417042,3.23482205154643
"74",74,130.48,0.58333,0,5,"pro",-1,1.1548,1,30.7101353236607,26.2716587611607,35.4913853236607,3.06452504265261,3.18487837858848,2.9961646656761
"75",75,110.96,0.5,0,6,"pro",-1,0.98203,1,21.9825962611607,18.2384556361607,26.2101353236607,2.93319070943621,3.13812480085413,2.78176076419209
"76",76,112.36,0.7,0,7,"pro",-1,0.99442,1,46.5128696986607,40.7208775111607,52.1202915736607,2.71812112866172,2.66213609717911,2.831515478451
"77",77,110.52,0.51667,0,8,"pro",-1,0.97814,1,23.5997837611607,19.6622837611607,28.0382603236607,2.85689247185212,3.03923746172985,2.72628855703465
"78",78,96.763,0.48333,0,1,"pro",-1,1,1,19.3634556361607,15.9005650111607,23.3536900111607,2.68066616985967,2.8893880671289,2.52190963397071
"79",79,51.724,0.31667,0,2,"pro",-1,0.53454,1,NA,NA,NA,NA,NA,NA
"80",80,75.742,0.38333,217.41,3,"pro",-1,0.78276,1,NA,NA,NA,NA,NA,NA
"81",81,135.75,0.58333,0,4,"pro",-1,1.4029,1,30.4991978236607,26.1398228236607,35.1749790736607,3.16371657206013,3.29021706402496,3.08930529773245
"82",82,133.72,0.6,0,1,"pro",403.86,1,1,32.4327915736607,27.9064243861607,37.2667759486607,3.09053423267504,3.19377566483336,3.03945737452216
"83",83,137.1,0.51667,0,2,"pro",403.86,1.0253,1,23.6613071986607,19.8907993861607,27.7921665736607,3.41965475950458,3.63786755304603,3.25933457391617
"84",84,0,0,0,3,"pro",403.86,0,1,NA,NA,NA,NA,NA,NA
"85",85,173.13,0.63333,0,1,"pro",384.18,1,1,33.3380650111607,29.2159946986607,37.5919712611607,3.69841180544231,3.80907607624556,3.63707640740897
"86",86,122.26,0.41667,0,2,"pro",384.18,0.70617,1,15.1974400111607,12.2443150111607,18.5197056361607,3.6885448242041,4.05614876577598,3.4022748492434
"87",87,159.69,0.48333,391.59,3,"pro",384.18,0.92237,1,20.0314243861607,16.7003696986607,23.6613071986607,4.07532130073827,4.3862403991845,3.83525456083027
"88",88,174.88,0.6,0,4,"pro",384.18,1.0101,1,29.9103306361607,25.9728306361607,34.0411900111607,3.81253301123358,3.96771032810593,3.70988967951637
"89",89,81.55,0.41667,0,1,"pro",-1,1,1,11.8400181361607,9.46697126116071,14.5909946986607,2.64772477300531,2.92468141159616,2.42766042974903
"90",90,58.033,0.38333,0,2,"pro",-1,0.71162,1,NA,NA,NA,NA,NA,NA
"91",91,58.228,0.35,244.24,3,"pro",-1,0.71402,1,NA,NA,NA,NA,NA,NA
"92",92,88.705,0.38333,0,4,"pro",-1,1.0877,1,10.9699009486607,8.64079938616071,13.6593540736607,3.06148880434292,3.41634303672255,2.78326248013465
"93",93,13.233,0.26667,0,5,"pro",-1,0.16227,1,NA,NA,NA,NA,NA,NA
"94",94,64.024,0.23333,0,1,"rental",232.41,1,1,NA,NA,NA,NA,NA,NA
"95",95,98.435,0.45,0,2,"rental",232.41,1.5375,1,16.7179478236607,13.5890415736607,20.3038853236607,2.88398284328539,3.14132802663259,2.68388977910102
